Area name,Year,% of economically active with NVQ4+ - working age_x,% of economically active with NVQ4+ - working age_y,% of economically active with NVQ3 only - working age,% of economically active with Trade Apprenticeships - working age,% of economically active with NVQ2 only - working age,% of economically active with NVQ1 only - working age,% of economically active with other qualifications - working age,% of economically active with no qualifications - working age,Gross Annual Pay - Full Time - Total (£),Gross Annual Pay - Full Time - Male (£),Gross Annual Pay - Full Time - Female (£),Median Modelled Household income (£),Mean Modelled Household income (£),Real change % (after inflation) - 2001/02 to 2012/13,Number of active businesses,Two-year business survival rates,Number Employed - Total,Number Employed - Male,Number Employed - Female,Jobs Density,Crime Rates per thousand population,Fires per thousand population,Ambulance incidents per hundred population,Total Carbon Emissions,Household Waste Recycling Rate,Number of Licensed Vehicles,Traffic Flows,% of adults who cycle at least once per month,Road Casualties (Killed or Seriously Injured),Average Public Transport Accessibility Score,% children living in out-of-work households
Hounslow,2011,51.9,51.9,10.3,1.6,12.4,9.3,8.3,6.3,32759,35549,28539,,,,10895.0,75.9,149000.0,90000.0,59000.0,0.85,97.1572254,2.9930136860000003,12.12111703,1412.90372,35.0,106197.0,1499.0,19.0,73.0,,22.0
Hounslow,2011,51.9,51.9,10.3,1.6,12.4,9.3,8.3,6.3,32759,35549,28539,,,,10895.0,75.9,149000.0,90000.0,59000.0,0.85,97.1572254,2.9930136860000003,12.12111703,1412.90372,35.0,106197.0,1499.0,19.0,73.0,,24.4
Hounslow,2011,51.9,51.9,10.3,1.6,12.4,9.3,8.3,6.3,32759,35549,28539,,,,10895.0,75.9,149000.0,90000.0,59000.0,0.85,97.1572254,2.9930136860000003,12.12111703,1412.90372,35.0,106197.0,1499.0,19.0,73.0,,22.0
Hounslow,2011,51.9,51.9,10.3,1.6,12.4,9.3,8.3,6.3,32759,35549,28539,,,,10895.0,75.9,149000.0,90000.0,59000.0,0.85,97.1572254,2.9930136860000003,12.12111703,1412.90372,35.0,106197.0,1499.0,19.0,73.0,,24.4
Islington,2011,69.2,69.2,6.1,1.4,5.5,7.6,6.1,4.1,35996,39644,31748,,,,14395.0,75.5,201000.0,117000.0,84000.0,1.29,131.0080714,3.621203675,13.93121167,1022.6661320000001,32.0,43318.0,409.0,24.0,100.0,,36.3
Islington,2011,69.2,69.2,6.1,1.4,5.5,7.6,6.1,4.1,35996,39644,31748,,,,14395.0,75.5,201000.0,117000.0,84000.0,1.29,131.0080714,3.621203675,13.93121167,1022.6661320000001,32.0,43318.0,409.0,24.0,100.0,,39.1
Islington,2011,69.2,69.2,6.1,1.4,5.5,7.6,6.1,4.1,35996,39644,31748,,,,14395.0,75.5,201000.0,117000.0,84000.0,1.29,131.0080714,3.621203675,13.93121167,1022.6661320000001,32.0,43318.0,409.0,24.0,100.0,,36.3
Islington,2011,69.2,69.2,6.1,1.4,5.5,7.6,6.1,4.1,35996,39644,31748,,,,14395.0,75.5,201000.0,117000.0,84000.0,1.29,131.0080714,3.621203675,13.93121167,1022.6661320000001,32.0,43318.0,409.0,24.0,100.0,,39.1
Kensington and Chelsea,2011,69.4,69.4,9.1,!,5,5.2,7,4,31491,32325,30553,,,,12265.0,74.2,138000.0,66000.0,70000.0,1.2,131.2219196,2.268548066,12.27543586,1308.037626,34.0,49890.0,520.0,17.0,82.0,,23.1
Kensington and Chelsea,2011,69.4,69.4,9.1,!,5,5.2,7,4,31491,32325,30553,,,,12265.0,74.2,138000.0,66000.0,70000.0,1.2,131.2219196,2.268548066,12.27543586,1308.037626,34.0,49890.0,520.0,17.0,82.0,,24.8
Kensington and Chelsea,2011,69.4,69.4,9.1,!,5,5.2,7,4,31491,32325,30553,,,,12265.0,74.2,138000.0,66000.0,70000.0,1.2,131.2219196,2.268548066,12.27543586,1308.037626,34.0,49890.0,520.0,17.0,82.0,,23.1
Kensington and Chelsea,2011,69.4,69.4,9.1,!,5,5.2,7,4,31491,32325,30553,,,,12265.0,74.2,138000.0,66000.0,70000.0,1.2,131.2219196,2.268548066,12.27543586,1308.037626,34.0,49890.0,520.0,17.0,82.0,,24.8
Kingston upon Thames,2011,54.2,54.2,10.8,1.1,12.9,10.9,4.7,5.3,28997,29715,25782,,,,7770.0,79.2,80000.0,44000.0,36000.0,0.72,70.00922486,2.194021292,11.2362562,741.8225332000001,47.0,73609.0,901.0,17.0,44.0,,12.4
Kingston upon Thames,2011,54.2,54.2,10.8,1.1,12.9,10.9,4.7,5.3,28997,29715,25782,,,,7770.0,79.2,80000.0,44000.0,36000.0,0.72,70.00922486,2.194021292,11.2362562,741.8225332000001,47.0,73609.0,901.0,17.0,44.0,,13.8
Kingston upon Thames,2011,54.2,54.2,10.8,1.1,12.9,10.9,4.7,5.3,28997,29715,25782,,,,7770.0,79.2,80000.0,44000.0,36000.0,0.72,70.00922486,2.194021292,11.2362562,741.8225332000001,47.0,73609.0,901.0,17.0,44.0,,12.4
Kingston upon Thames,2011,54.2,54.2,10.8,1.1,12.9,10.9,4.7,5.3,28997,29715,25782,,,,7770.0,79.2,80000.0,44000.0,36000.0,0.72,70.00922486,2.194021292,11.2362562,741.8225332000001,47.0,73609.0,901.0,17.0,44.0,,13.8
Lambeth,2011,66.2,66.2,7.6,0.6,5.2,5.1,7.6,7.8,34836,37409,31190,,,,11480.0,75.8,150000.0,80000.0,70000.0,0.66,121.4952657,3.106926212,14.14439653,1219.8775699999999,28.0,72343.0,746.0,25.0,169.0,,29.5
Lambeth,2011,66.2,66.2,7.6,0.6,5.2,5.1,7.6,7.8,34836,37409,31190,,,,11480.0,75.8,150000.0,80000.0,70000.0,0.66,121.4952657,3.106926212,14.14439653,1219.8775699999999,28.0,72343.0,746.0,25.0,169.0,,31.8
Lambeth,2011,66.2,66.2,7.6,0.6,5.2,5.1,7.6,7.8,34836,37409,31190,,,,11480.0,75.8,150000.0,80000.0,70000.0,0.66,121.4952657,3.106926212,14.14439653,1219.8775699999999,28.0,72343.0,746.0,25.0,169.0,,29.5
Lambeth,2011,66.2,66.2,7.6,0.6,5.2,5.1,7.6,7.8,34836,37409,31190,,,,11480.0,75.8,150000.0,80000.0,70000.0,0.66,121.4952657,3.106926212,14.14439653,1219.8775699999999,28.0,72343.0,746.0,25.0,169.0,,31.8
Lewisham,2011,57.2,57.2,12.1,1.8,8.7,6.8,8,5.5,29567,29924,28734,,,,7845.0,73.0,75000.0,32000.0,42000.0,0.39,98.11582376,3.087333627,12.80430999,933.5370545,17.0,82802.0,772.0,13.0,102.0,,28.3
Lewisham,2011,57.2,57.2,12.1,1.8,8.7,6.8,8,5.5,29567,29924,28734,,,,7845.0,73.0,75000.0,32000.0,42000.0,0.39,98.11582376,3.087333627,12.80430999,933.5370545,17.0,82802.0,772.0,13.0,102.0,,30.3
Lewisham,2011,57.2,57.2,12.1,1.8,8.7,6.8,8,5.5,29567,29924,28734,,,,7845.0,73.0,75000.0,32000.0,42000.0,0.39,98.11582376,3.087333627,12.80430999,933.5370545,17.0,82802.0,772.0,13.0,102.0,,28.3
Lewisham,2011,57.2,57.2,12.1,1.8,8.7,6.8,8,5.5,29567,29924,28734,,,,7845.0,73.0,75000.0,32000.0,42000.0,0.39,98.11582376,3.087333627,12.80430999,933.5370545,17.0,82802.0,772.0,13.0,102.0,,30.3
Merton,2011,52.6,52.6,11.3,0.8,9.4,9.6,12,4.3,28066,30082,25271,,,,9355.0,77.1,87000.0,47000.0,39000.0,0.62,70.59333908,2.418433952,10.65606877,815.5189147000001,37.0,82142.0,584.0,16.0,46.0,,15.9
Merton,2011,52.6,52.6,11.3,0.8,9.4,9.6,12,4.3,28066,30082,25271,,,,9355.0,77.1,87000.0,47000.0,39000.0,0.62,70.59333908,2.418433952,10.65606877,815.5189147000001,37.0,82142.0,584.0,16.0,46.0,,17.7
Merton,2011,52.6,52.6,11.3,0.8,9.4,9.6,12,4.3,28066,30082,25271,,,,9355.0,77.1,87000.0,47000.0,39000.0,0.62,70.59333908,2.418433952,10.65606877,815.5189147000001,37.0,82142.0,584.0,16.0,46.0,,15.9
Merton,2011,52.6,52.6,11.3,0.8,9.4,9.6,12,4.3,28066,30082,25271,,,,9355.0,77.1,87000.0,47000.0,39000.0,0.62,70.59333908,2.418433952,10.65606877,815.5189147000001,37.0,82142.0,584.0,16.0,46.0,,17.7
Newham,2011,48,48,9.8,!,8.2,7.5,16.8,9.3,29998,32468,27319,,,,7195.0,70.9,89000.0,51000.0,39000.0,0.41,103.1082909,3.900663532,13.09218579,1438.301964,23.0,72040.0,904.0,11.0,74.0,,27.6
Newham,2011,48,48,9.8,!,8.2,7.5,16.8,9.3,29998,32468,27319,,,,7195.0,70.9,89000.0,51000.0,39000.0,0.41,103.1082909,3.900663532,13.09218579,1438.301964,23.0,72040.0,904.0,11.0,74.0,,33.4
Newham,2011,48,48,9.8,!,8.2,7.5,16.8,9.3,29998,32468,27319,,,,7195.0,70.9,89000.0,51000.0,39000.0,0.41,103.1082909,3.900663532,13.09218579,1438.301964,23.0,72040.0,904.0,11.0,74.0,,27.6
Newham,2011,48,48,9.8,!,8.2,7.5,16.8,9.3,29998,32468,27319,,,,7195.0,70.9,89000.0,51000.0,39000.0,0.41,103.1082909,3.900663532,13.09218579,1438.301964,23.0,72040.0,904.0,11.0,74.0,,33.4
Redbridge,2011,43.6,43.6,16.5,1.2,13.7,6.1,10.8,8,29829,33438,27070,,,,10475.0,74.9,76000.0,38000.0,39000.0,0.42,86.20266885,2.78967288,11.378667,946.8583638,33.0,111012.0,1106.0,6.0,76.0,,20.5
Redbridge,2011,43.6,43.6,16.5,1.2,13.7,6.1,10.8,8,29829,33438,27070,,,,10475.0,74.9,76000.0,38000.0,39000.0,0.42,86.20266885,2.78967288,11.378667,946.8583638,33.0,111012.0,1106.0,6.0,76.0,,23.4
Redbridge,2011,43.6,43.6,16.5,1.2,13.7,6.1,10.8,8,29829,33438,27070,,,,10475.0,74.9,76000.0,38000.0,39000.0,0.42,86.20266885,2.78967288,11.378667,946.8583638,33.0,111012.0,1106.0,6.0,76.0,,20.5
Redbridge,2011,43.6,43.6,16.5,1.2,13.7,6.1,10.8,8,29829,33438,27070,,,,10475.0,74.9,76000.0,38000.0,39000.0,0.42,86.20266885,2.78967288,11.378667,946.8583638,33.0,111012.0,1106.0,6.0,76.0,,23.4
Richmond upon Thames,2011,62.1,62.1,14.7,0.8,8.6,6.7,5.1,2,32197,34964,29867,,,,12340.0,78.3,97000.0,46000.0,51000.0,0.76,64.05477611,2.079700523,9.567688919,842.5982838,45.0,86748.0,766.0,31.0,69.0,,9.0
Richmond upon Thames,2011,62.1,62.1,14.7,0.8,8.6,6.7,5.1,2,32197,34964,29867,,,,12340.0,78.3,97000.0,46000.0,51000.0,0.76,64.05477611,2.079700523,9.567688919,842.5982838,45.0,86748.0,766.0,31.0,69.0,,10.2
Richmond upon Thames,2011,62.1,62.1,14.7,0.8,8.6,6.7,5.1,2,32197,34964,29867,,,,12340.0,78.3,97000.0,46000.0,51000.0,0.76,64.05477611,2.079700523,9.567688919,842.5982838,45.0,86748.0,766.0,31.0,69.0,,9.0
Richmond upon Thames,2011,62.1,62.1,14.7,0.8,8.6,6.7,5.1,2,32197,34964,29867,,,,12340.0,78.3,97000.0,46000.0,51000.0,0.76,64.05477611,2.079700523,9.567688919,842.5982838,45.0,86748.0,766.0,31.0,69.0,,10.2
Southwark,2011,64,64,9.5,0.7,7,5.2,9.1,4.6,36124,38615,32408,,,,14410.0,71.4,250000.0,151000.0,99000.0,1.16,119.407586,4.32603553,14.76844107,1401.3782800000001,27.0,69528.0,751.0,22.0,126.0,,29.1
Southwark,2011,64,64,9.5,0.7,7,5.2,9.1,4.6,36124,38615,32408,,,,14410.0,71.4,250000.0,151000.0,99000.0,1.16,119.407586,4.32603553,14.76844107,1401.3782800000001,27.0,69528.0,751.0,22.0,126.0,,30.8
Southwark,2011,64,64,9.5,0.7,7,5.2,9.1,4.6,36124,38615,32408,,,,14410.0,71.4,250000.0,151000.0,99000.0,1.16,119.407586,4.32603553,14.76844107,1401.3782800000001,27.0,69528.0,751.0,22.0,126.0,,29.1
Southwark,2011,64,64,9.5,0.7,7,5.2,9.1,4.6,36124,38615,32408,,,,14410.0,71.4,250000.0,151000.0,99000.0,1.16,119.407586,4.32603553,14.76844107,1401.3782800000001,27.0,69528.0,751.0,22.0,126.0,,30.8
Sutton,2011,38.6,38.6,15,4,16.7,12.4,9.2,4.1,26743,26719,26718,,,,7240.0,79.1,79000.0,43000.0,35000.0,0.62,61.40548233,2.8201733960000004,10.74282007,749.4073412,37.0,95480.0,612.0,13.0,45.0,,15.8
Sutton,2011,38.6,38.6,15,4,16.7,12.4,9.2,4.1,26743,26719,26718,,,,7240.0,79.1,79000.0,43000.0,35000.0,0.62,61.40548233,2.8201733960000004,10.74282007,749.4073412,37.0,95480.0,612.0,13.0,45.0,,16.0
Sutton,2011,38.6,38.6,15,4,16.7,12.4,9.2,4.1,26743,26719,26718,,,,7240.0,79.1,79000.0,43000.0,35000.0,0.62,61.40548233,2.8201733960000004,10.74282007,749.4073412,37.0,95480.0,612.0,13.0,45.0,,15.8
Sutton,2011,38.6,38.6,15,4,16.7,12.4,9.2,4.1,26743,26719,26718,,,,7240.0,79.1,79000.0,43000.0,35000.0,0.62,61.40548233,2.8201733960000004,10.74282007,749.4073412,37.0,95480.0,612.0,13.0,45.0,,16.0
Tower Hamlets,2011,58.2,58.2,9.8,0.5,8.9,6.3,8,8.4,45970,52669,38208,,,,12850.0,74.9,251000.0,157000.0,93000.0,1.32,115.0414824,5.734106214,13.03610768,1922.0313079999999,27.0,49016.0,904.0,15.0,103.0,,38.7
Tower Hamlets,2011,58.2,58.2,9.8,0.5,8.9,6.3,8,8.4,45970,52669,38208,,,,12850.0,74.9,251000.0,157000.0,93000.0,1.32,115.0414824,5.734106214,13.03610768,1922.0313079999999,27.0,49016.0,904.0,15.0,103.0,,46.1
Tower Hamlets,2011,58.2,58.2,9.8,0.5,8.9,6.3,8,8.4,45970,52669,38208,,,,12850.0,74.9,251000.0,157000.0,93000.0,1.32,115.0414824,5.734106214,13.03610768,1922.0313079999999,27.0,49016.0,904.0,15.0,103.0,,38.7
Tower Hamlets,2011,58.2,58.2,9.8,0.5,8.9,6.3,8,8.4,45970,52669,38208,,,,12850.0,74.9,251000.0,157000.0,93000.0,1.32,115.0414824,5.734106214,13.03610768,1922.0313079999999,27.0,49016.0,904.0,15.0,103.0,,46.1
Waltham Forest,2011,44.8,44.8,10.6,2.4,13.5,10.3,9.6,8.8,28005,28132,27534,,,,7940.0,68.6,72000.0,38000.0,33000.0,0.4,95.77195833,3.4303270169999998,12.20095325,824.9913554999999,27.0,85375.0,651.0,11.0,68.0,,25.7
Waltham Forest,2011,44.8,44.8,10.6,2.4,13.5,10.3,9.6,8.8,28005,28132,27534,,,,7940.0,68.6,72000.0,38000.0,33000.0,0.4,95.77195833,3.4303270169999998,12.20095325,824.9913554999999,27.0,85375.0,651.0,11.0,68.0,,28.9
Waltham Forest,2011,44.8,44.8,10.6,2.4,13.5,10.3,9.6,8.8,28005,28132,27534,,,,7940.0,68.6,72000.0,38000.0,33000.0,0.4,95.77195833,3.4303270169999998,12.20095325,824.9913554999999,27.0,85375.0,651.0,11.0,68.0,,25.7
Waltham Forest,2011,44.8,44.8,10.6,2.4,13.5,10.3,9.6,8.8,28005,28132,27534,,,,7940.0,68.6,72000.0,38000.0,33000.0,0.4,95.77195833,3.4303270169999998,12.20095325,824.9913554999999,27.0,85375.0,651.0,11.0,68.0,,28.9
Wandsworth,2011,71.2,71.2,6.6,0.7,5.9,6.5,5.1,4.1,32033,34198,30829,,,,15455.0,77.7,126000.0,68000.0,58000.0,0.55,79.26944201,2.395112281,10.27460921,1136.0957859999999,28.0,95038.0,795.0,20.0,112.0,,19.8
Wandsworth,2011,71.2,71.2,6.6,0.7,5.9,6.5,5.1,4.1,32033,34198,30829,,,,15455.0,77.7,126000.0,68000.0,58000.0,0.55,79.26944201,2.395112281,10.27460921,1136.0957859999999,28.0,95038.0,795.0,20.0,112.0,,22.1
Wandsworth,2011,71.2,71.2,6.6,0.7,5.9,6.5,5.1,4.1,32033,34198,30829,,,,15455.0,77.7,126000.0,68000.0,58000.0,0.55,79.26944201,2.395112281,10.27460921,1136.0957859999999,28.0,95038.0,795.0,20.0,112.0,,19.8
Wandsworth,2011,71.2,71.2,6.6,0.7,5.9,6.5,5.1,4.1,32033,34198,30829,,,,15455.0,77.7,126000.0,68000.0,58000.0,0.55,79.26944201,2.395112281,10.27460921,1136.0957859999999,28.0,95038.0,795.0,20.0,112.0,,22.1
Westminster,2011,69.4,69.4,6.7,1,5.6,3.8,8.4,5,37406,41633,32251,,,,48240.0,68.9,671000.0,394000.0,276000.0,4.15,302.0056289,4.686176463,22.41303932,2938.715169,25.0,61004.0,846.0,17.0,160.0,,32.7
Westminster,2011,69.4,69.4,6.7,1,5.6,3.8,8.4,5,37406,41633,32251,,,,48240.0,68.9,671000.0,394000.0,276000.0,4.15,302.0056289,4.686176463,22.41303932,2938.715169,25.0,61004.0,846.0,17.0,160.0,,36.7
Westminster,2011,69.4,69.4,6.7,1,5.6,3.8,8.4,5,37406,41633,32251,,,,48240.0,68.9,671000.0,394000.0,276000.0,4.15,302.0056289,4.686176463,22.41303932,2938.715169,25.0,61004.0,846.0,17.0,160.0,,32.7
Westminster,2011,69.4,69.4,6.7,1,5.6,3.8,8.4,5,37406,41633,32251,,,,48240.0,68.9,671000.0,394000.0,276000.0,4.15,302.0056289,4.686176463,22.41303932,2938.715169,25.0,61004.0,846.0,17.0,160.0,,36.7
City of London,2012,100.0,100.0,!,!,!,!,!,!,54000,62511,41898,99390.0,63620.0,,16765.0,62.6,447900.0,293000.0,154800.0,77.46,-,11.96738559,82.61441347,1532.948466,36.0,3687.0,157.0,11.0,58.0,7.6,10.0
City of London,2012,100.0,100.0,!,!,!,!,!,!,54000,62511,41898,99390.0,63620.0,,16765.0,62.6,447900.0,293000.0,154800.0,77.46,-,11.96738559,82.61441347,1532.948466,36.0,3687.0,157.0,11.0,58.0,7.6,11.9
City of London,2012,100.0,100.0,!,!,!,!,!,!,54000,62511,41898,99390.0,63620.0,,16765.0,62.6,447900.0,293000.0,154800.0,77.46,-,11.96738559,82.61441347,1532.948466,36.0,3687.0,157.0,11.0,58.0,7.6,10.0
City of London,2012,100.0,100.0,!,!,!,!,!,!,54000,62511,41898,99390.0,63620.0,,16765.0,62.6,447900.0,293000.0,154800.0,77.46,-,11.96738559,82.61441347,1532.948466,36.0,3687.0,157.0,11.0,58.0,7.6,11.9
Barking and Dagenham,2012,29.8,29.8,15.2,3.4,19.2,12.7,11.6,8.2,33131,37018,24488,34080.0,29420.0,,4580.0,73.4,54500.0,33700.0,20700.0,0.46,90.47019312,3.421494542,14.12258606,820.1144114,27.0,65155.0,557.0,9.0,47.0,3.0,30.5
Barking and Dagenham,2012,29.8,29.8,15.2,3.4,19.2,12.7,11.6,8.2,33131,37018,24488,34080.0,29420.0,,4580.0,73.4,54500.0,33700.0,20700.0,0.46,90.47019312,3.421494542,14.12258606,820.1144114,27.0,65155.0,557.0,9.0,47.0,3.0,30.2
Barking and Dagenham,2012,29.8,29.8,15.2,3.4,19.2,12.7,11.6,8.2,33131,37018,24488,34080.0,29420.0,,4580.0,73.4,54500.0,33700.0,20700.0,0.46,90.47019312,3.421494542,14.12258606,820.1144114,27.0,65155.0,557.0,9.0,47.0,3.0,30.5
Barking and Dagenham,2012,29.8,29.8,15.2,3.4,19.2,12.7,11.6,8.2,33131,37018,24488,34080.0,29420.0,,4580.0,73.4,54500.0,33700.0,20700.0,0.46,90.47019312,3.421494542,14.12258606,820.1144114,27.0,65155.0,557.0,9.0,47.0,3.0,30.2
Barnet,2012,53.9,53.9,12.5,1.1,11.2,8.2,8.1,5,29594,32609,26522,54530.0,40530.0,,22110.0,69.8,153000.0,73000.0,80000.0,0.65,69.68974272,1.9645231840000001,11.43737155,1587.78586,33.0,150799.0,1630.0,10.0,112.0,3.0,16.7
Barnet,2012,53.9,53.9,12.5,1.1,11.2,8.2,8.1,5,29594,32609,26522,54530.0,40530.0,,22110.0,69.8,153000.0,73000.0,80000.0,0.65,69.68974272,1.9645231840000001,11.43737155,1587.78586,33.0,150799.0,1630.0,10.0,112.0,3.0,17.3
Barnet,2012,53.9,53.9,12.5,1.1,11.2,8.2,8.1,5,29594,32609,26522,54530.0,40530.0,,22110.0,69.8,153000.0,73000.0,80000.0,0.65,69.68974272,1.9645231840000001,11.43737155,1587.78586,33.0,150799.0,1630.0,10.0,112.0,3.0,16.7
Barnet,2012,53.9,53.9,12.5,1.1,11.2,8.2,8.1,5,29594,32609,26522,54530.0,40530.0,,22110.0,69.8,153000.0,73000.0,80000.0,0.65,69.68974272,1.9645231840000001,11.43737155,1587.78586,33.0,150799.0,1630.0,10.0,112.0,3.0,17.3
Bexley,2012,31.9,31.9,17.9,3.7,20.4,14,6.5,5.6,27440,30481,-,44430.0,36990.0,,7390.0,75.4,77400.0,43100.0,34300.0,0.53,52.65269709,2.3477084230000003,11.62969382,1098.5592789999998,54.0,119850.0,900.0,8.0,55.0,2.5,19.0
Bexley,2012,31.9,31.9,17.9,3.7,20.4,14,6.5,5.6,27440,30481,-,44430.0,36990.0,,7390.0,75.4,77400.0,43100.0,34300.0,0.53,52.65269709,2.3477084230000003,11.62969382,1098.5592789999998,54.0,119850.0,900.0,8.0,55.0,2.5,18.0
Bexley,2012,31.9,31.9,17.9,3.7,20.4,14,6.5,5.6,27440,30481,-,44430.0,36990.0,,7390.0,75.4,77400.0,43100.0,34300.0,0.53,52.65269709,2.3477084230000003,11.62969382,1098.5592789999998,54.0,119850.0,900.0,8.0,55.0,2.5,19.0
Bexley,2012,31.9,31.9,17.9,3.7,20.4,14,6.5,5.6,27440,30481,-,44430.0,36990.0,,7390.0,75.4,77400.0,43100.0,34300.0,0.53,52.65269709,2.3477084230000003,11.62969382,1098.5592789999998,54.0,119850.0,900.0,8.0,55.0,2.5,18.0
Brent,2012,46.8,46.8,17.8,0.8,10.5,4.5,11.3,8.3,27577,28535,25455,39630.0,32140.0,,13220.0,70.4,121900.0,68100.0,53800.0,0.57,86.63319138,2.049831564,12.78777093,1346.641537,43.0,105469.0,872.0,12.0,86.0,3.7,23.9
Brent,2012,46.8,46.8,17.8,0.8,10.5,4.5,11.3,8.3,27577,28535,25455,39630.0,32140.0,,13220.0,70.4,121900.0,68100.0,53800.0,0.57,86.63319138,2.049831564,12.78777093,1346.641537,43.0,105469.0,872.0,12.0,86.0,3.7,25.0
Brent,2012,46.8,46.8,17.8,0.8,10.5,4.5,11.3,8.3,27577,28535,25455,39630.0,32140.0,,13220.0,70.4,121900.0,68100.0,53800.0,0.57,86.63319138,2.049831564,12.78777093,1346.641537,43.0,105469.0,872.0,12.0,86.0,3.7,23.9
Brent,2012,46.8,46.8,17.8,0.8,10.5,4.5,11.3,8.3,27577,28535,25455,39630.0,32140.0,,13220.0,70.4,121900.0,68100.0,53800.0,0.57,86.63319138,2.049831564,12.78777093,1346.641537,43.0,105469.0,872.0,12.0,86.0,3.7,25.0
Bromley,2012,49.7,49.7,16.9,1.7,11.6,11.5,4.8,3.8,28082,32645,24235,55140.0,43060.0,,13425.0,76.9,120100.0,56600.0,63500.0,0.62,64.4766842,2.544294285,10.88824211,1378.465208,49.0,161396.0,1194.0,12.0,90.0,2.7,16.1
Bromley,2012,49.7,49.7,16.9,1.7,11.6,11.5,4.8,3.8,28082,32645,24235,55140.0,43060.0,,13425.0,76.9,120100.0,56600.0,63500.0,0.62,64.4766842,2.544294285,10.88824211,1378.465208,49.0,161396.0,1194.0,12.0,90.0,2.7,15.5
Bromley,2012,49.7,49.7,16.9,1.7,11.6,11.5,4.8,3.8,28082,32645,24235,55140.0,43060.0,,13425.0,76.9,120100.0,56600.0,63500.0,0.62,64.4766842,2.544294285,10.88824211,1378.465208,49.0,161396.0,1194.0,12.0,90.0,2.7,16.1
Bromley,2012,49.7,49.7,16.9,1.7,11.6,11.5,4.8,3.8,28082,32645,24235,55140.0,43060.0,,13425.0,76.9,120100.0,56600.0,63500.0,0.62,64.4766842,2.544294285,10.88824211,1378.465208,49.0,161396.0,1194.0,12.0,90.0,2.7,15.5
Camden,2012,69.6,69.6,10.5,0.8,7.6,4.4,3.3,3.8,36962,39118,34266,67990.0,43750.0,,26460.0,69.3,342000.0,189800.0,152300.0,2.11,145.98021,2.720459455,15.68131507,1594.250943,31.0,58314.0,445.0,16.0,114.0,5.6,29.2
Camden,2012,69.6,69.6,10.5,0.8,7.6,4.4,3.3,3.8,36962,39118,34266,67990.0,43750.0,,26460.0,69.3,342000.0,189800.0,152300.0,2.11,145.98021,2.720459455,15.68131507,1594.250943,31.0,58314.0,445.0,16.0,114.0,5.6,30.0
Camden,2012,69.6,69.6,10.5,0.8,7.6,4.4,3.3,3.8,36962,39118,34266,67990.0,43750.0,,26460.0,69.3,342000.0,189800.0,152300.0,2.11,145.98021,2.720459455,15.68131507,1594.250943,31.0,58314.0,445.0,16.0,114.0,5.6,29.2
Camden,2012,69.6,69.6,10.5,0.8,7.6,4.4,3.3,3.8,36962,39118,34266,67990.0,43750.0,,26460.0,69.3,342000.0,189800.0,152300.0,2.11,145.98021,2.720459455,15.68131507,1594.250943,31.0,58314.0,445.0,16.0,114.0,5.6,30.0
Croydon,2012,44.3,44.3,18,1.5,14.1,11.6,7,3.5,28974,32062,25916,45120.0,37000.0,,13020.0,73.7,137700.0,74200.0,63500.0,0.58,84.33228694,2.578032238,13.66953476,1517.1693400000001,44.0,148197.0,1147.0,12.0,107.0,3.2,22.7
Croydon,2012,44.3,44.3,18,1.5,14.1,11.6,7,3.5,28974,32062,25916,45120.0,37000.0,,13020.0,73.7,137700.0,74200.0,63500.0,0.58,84.33228694,2.578032238,13.66953476,1517.1693400000001,44.0,148197.0,1147.0,12.0,107.0,3.2,22.2
Croydon,2012,44.3,44.3,18,1.5,14.1,11.6,7,3.5,28974,32062,25916,45120.0,37000.0,,13020.0,73.7,137700.0,74200.0,63500.0,0.58,84.33228694,2.578032238,13.66953476,1517.1693400000001,44.0,148197.0,1147.0,12.0,107.0,3.2,22.7
Croydon,2012,44.3,44.3,18,1.5,14.1,11.6,7,3.5,28974,32062,25916,45120.0,37000.0,,13020.0,73.7,137700.0,74200.0,63500.0,0.58,84.33228694,2.578032238,13.66953476,1517.1693400000001,44.0,148197.0,1147.0,12.0,107.0,3.2,22.2
Ealing,2012,52.9,52.9,12.7,1.6,12,6,7.8,7.1,31104,33430,24101,45690.0,36070.0,,15065.0,73.5,147000.0,91900.0,55100.0,0.64,88.0703083,2.219149854,12.17919929,1590.7995369999999,41.0,130960.0,1172.0,16.0,88.0,3.3,21.4
Ealing,2012,52.9,52.9,12.7,1.6,12,6,7.8,7.1,31104,33430,24101,45690.0,36070.0,,15065.0,73.5,147000.0,91900.0,55100.0,0.64,88.0703083,2.219149854,12.17919929,1590.7995369999999,41.0,130960.0,1172.0,16.0,88.0,3.3,21.8
Ealing,2012,52.9,52.9,12.7,1.6,12,6,7.8,7.1,31104,33430,24101,45690.0,36070.0,,15065.0,73.5,147000.0,91900.0,55100.0,0.64,88.0703083,2.219149854,12.17919929,1590.7995369999999,41.0,130960.0,1172.0,16.0,88.0,3.3,21.4
Ealing,2012,52.9,52.9,12.7,1.6,12,6,7.8,7.1,31104,33430,24101,45690.0,36070.0,,15065.0,73.5,147000.0,91900.0,55100.0,0.64,88.0703083,2.219149854,12.17919929,1590.7995369999999,41.0,130960.0,1172.0,16.0,88.0,3.3,21.8
